article_num,issue-item__title,issue-item__title href,rlist--inline 2,Abstract,Author1,Author2,Author3,Author4,Author5,Author6
30,The valley of trust: The effect of relational strength on monitoring quality,https://doi.org/10.1016/j.obhdp.2019.07.004,26 October 2019,"Effective monitoring of firms by regulatory agencies is essential to maintaining economic sustainability, correcting information asymmetry in markets, and mitigating social and environmental externalities. Yet, monitoring failures often arise where the monitoring agent fails to detect or report infractions by the firms they monitor. Whereas organizational scholars cite weak relationships and a lack of trust between firms and monitors as a key source of monitoring failures, research in organizational deviance contends that increased trust in strong relationships promotes monitoring failures via negligence and collusion. Drawing on these two literatures, we propose that relationship strength exhibits a U-shaped relationship with monitoring quality, as mediated by trust: increasing relationship strength reduces monitoring failures to a certain point, but beyond which it increases monitoring failures. We test our theory with three studies: a field study using longitudinal archival data on financial restatements, a survey of Certified Public Accountants, and an experimental audit simulation.","Brandy Aven, Lily Morse, Alessandro Iorio",,,,,
31,"Social distance, trust and getting “hooked”: A phishing expedition",https://doi.org/10.1016/j.obhdp.2019.08.001,27 September 2019,"Phishing is a message-based computer attack sent to deceive and exploit recipients via email. Phishing is a problem for organizations because getting “hooked,” or tricked into acting on behalf of the sender, can put sensitive personal and organizational data at risk. In this research, we draw from several theoretical perspectives concerning social distance and trust as an exploitable resource to provide evidence that, even in contexts where actual social distance and intentions are nearly impossible to determine, people look to category-based signals of social distance to establish trust, which increases the likelihood of deception. We present the results of a validation study and a randomized field experiment in which we sent phishing emails to all employees of an insurance company.","Sean R. Martin, Julia J. Lee, Bidhan Lalit Parmar",,,,,
32,Mock meat in the butchery: Nudging consumers toward meat substitutes,https://doi.org/10.1016/j.obhdp.2019.09.004,24 September 2019,"Is it possible to nudge consumers to swap their chicken sandwich for a meat substitute? A field study tests whether adapting the choice architecture of a large retail store increases the purchase of meat substitutes among nonusers. Instead of offering meat substitutes exclusively in a separate, vegetarian section, this study places them next to similar meat products in the butchery. As such, we (1) increase the meat substitutes’ visibility and (2) offer them in pairs with their meat-based counterparts. Doing so enhances sales of meat substitutes, relative to both past sales in the experimental store and sales in eight other control stores that serve as benchmarks. No backfire effect was observed as meat product sales did not increase significantly. A follow-up study disentangles the effect of product visibility and pairwise presentation. Both product visibility and pairwise presentation increase sales of meat substitutes. However, when visibility is high, fewer meat substitutes were sold in a pairwise presentation.","Jolien Vandenbroele, Hendrik Slabbinck, Anneleen Van Kerckhove, Iris Vermeir",,,,,
33,"Horseshoes, hand grenades, and regulatory enforcement: Close experience with potential sanctions and fraud deterrence",https://doi.org/10.1016/j.obhdp.2019.09.001,24 September 2019,"We investigate the deterrence effect of experience with regulatory enforcement on fraud in a unique natural setting. Using ride-level data on New York City taxicab drivers, we identify drivers who fraudulently overcharge customers and pair them with the outcomes of drivers’ experience with regulatory enforcement (taxi court). We examine whether drivers’ experience with the taxi court, specifically whether the taxi court found them guilty or not guilty of fraud, affects their subsequent fraud. Interestingly, we find that the effect of experience with the regulatory enforcement on the likelihood of future fraud depends on the verdict received. Consistent with an impact bias in drivers’ affective forecasting, drivers who are found guilty (not guilty) are  () likely to commit fraud than similar drivers without recent taxi court experience. Our results have implications for academics and policymakers by showing that sometimes the threat of enforcement can be more effective at deterring future fraud than the actual enforcement itself.","Jeremy Douthit, Melanie Millar, Roger M. White",,,,,
34,Helping People by Being in the Present: Mindfulness Increases Prosocial Behavior,https://doi.org/10.1016/j.obhdp.2019.08.005,6 September 2019,"The present research tested whether mindfulness, a state characterized by focused, nonjudgmental awareness of the present moment, increases prosocial behavior in the workplace or work-related contexts. Study 1a was a longitudinal field experiment at a US insurance company. Compared to workers under waitlist control, employees who were assigned to a daily mindfulness training reported more helping behaviors over a five day period both in quantitative surveys and qualitative daily diaries. Study 1b, conducted in a large consulting company in India, extends these findings with a field experiment in which co-workers rated the prosocial behavior of teammates in a round robin design. Moving from devoting time to devoting money, in Studies 2a and 2b we find that individuals randomly assigned to engage in a focused breathing meditation were more financially generous. To understand the mechanisms of mindfulness’ effects on prosocial behavior, Study 3 found support for empathy and moderate support for perspective taking as mediators. This study also examined the effects of induced state mindfulness via two different mindfulness inductions, focused breathing and loving kindness meditation. Our results indicate that secular state mindfulness can make people more other-oriented and helpful. This benefit holds even in the workplace, where being helpful toward others might face constraints but is nevertheless of great importance.","Andrew C. Hafenbrack, Lindsey D. Cameron, Gretchen M. Spreitzer, Chen Zhang, ... Samah Shaffakat",,,,,
35,The motivation of mission statements: How regulatory mode influences workplace discrimination,https://doi.org/10.1016/j.obhdp.2019.04.002,3 September 2019,"Despite concerted efforts to enforce ethical standards, transgressions continue to plague US corporations. This paper investigates whether the way in which an organization pursues its goals can influence ethical violations, manifested as involvement in discrimination. We test this hypothesis among franchises, which employ a considerable amount of low-income workers adversely affected by discrimination. Drawing upon Regulatory Mode Theory, we perform a linguistic analysis of franchise mission statements to determine their degree of  and  language. EEOC archival data for the past decade reveals that regulatory mode predicts franchise involvement in discrimination. Discriminatory behavior is associated with franchises whose mission statements motivate employees to embrace urgent action (locomotion mode) over thoughtful consideration (assessment mode). Two experiments demonstrate that participants exposed to high locomotion mission statements tend to disregard ethical standards due to their need for expediency, making significantly more discriminatory managerial decisions than those exposed to high assessment mission statements.","Dana Kanze, Mark A. Conley, E. Tory Higgins",,,,,
36,When weak sanctioning systems work: Evidence from auto insurance industry fraud investigations,https://doi.org/10.1016/j.obhdp.2019.04.003,30 May 2019,"To deter auto insurance fraud, insurance companies and law enforcement agencies investigate and prosecute suspicious claims. We describe this sanctioning system and perceptions of this system by integrating unique datasets: insurance company records, interviews with insurance fraud investigators, state law enforcement data (CA, NY), and surveys of automotive insurance customers. We identify organizational constraints, such as public relations concerns, that limit the effectiveness of the formal sanctioning system (fewer than 1% of claims that are flagged as suspicious are ever prosecuted for fraud). We also identify psychological factors that deter consumers from committing fraud; consumers over-estimate the probability of detection, over-estimate the consequences of prosecution, are sensitive to social sanctions (e.g., negative publicity), and anticipate high emotional costs, such as shame and embarrassment, that make the prospect of committing fraud highly aversive. That is, psychological factors substantially deter fraud even though the economic sanctions are weak. Our findings integrate scholarship on sanctioning systems (Tenbrunsel & Messick, 1991) and highlight the role of organizational constraints and psychological factors in deterring fraud.","Danielle E. Warren, Maurice E. Schweitzer",,,,,
37,The demotivating effect (and unintended message) of awards,https://doi.org/10.1016/j.obhdp.2019.03.006,29 May 2019,"It is common for organizations to offer awards to motivate individual behavior, yet few empirical studies evaluate their effectiveness in the field. We report a randomized field experiment ( = 15,329) that tests the impact of two common types of symbolic awards: pre-announced awards (prospective) and surprise awards (retrospective). The context is U.S. schools, where we explore how awards motivate student attendance. Contrary to our pre-registered hypotheses and organizational leaders’ expectations, the prospective awards did not on average improve behavior, and the retrospective awards  subsequent attendance. Moreover, we find a significant negative effect on attendance after prospective incentives were removed, which points to a crowding-out effect. Survey experiments probing the mechanisms suggest that awards may cause these unintended effects by inadvertently signaling that the target behavior (perfect attendance) is neither the social norm nor institutionally expected. In addition, receiving the retrospective award suggests to recipients that they have already outperformed the norm and what was expected of them, hence licensing them to miss school. Exploratory analyses shed further light on differential effects of awards by age and performance.","Carly D. Robinson, Jana Gallus, Monica G. Lee, Todd Rogers",,,,,
38,Do status incentives undermine morality-based status attainment? Investigating the mediating role of perceived authenticity,https://doi.org/10.1016/j.obhdp.2019.04.005,17 May 2019,"We propose that status incentives weaken the relationship between moral behaviors and status conferral by undermining perceptions of authenticity. Across two experiments among diverse samples of participants, evidence indicates that observers question the authenticity of moral actors who are pursuing status incentives. Perceptions of authenticity mediate the interaction of moral behaviors and status incentives on status conferral. A third two-wave online survey replicates the experimental findings and reveals that observers’ moral identity further strengthens the interaction of moral behaviors and status incentives in shaping perceptions of authenticity and subsequent status conferral.","Feng Bai, Grace Ching Chi Ho, Wu Liu",,,,,
39,Humility breeds authenticity: How authentic leader humility shapes follower vulnerability and felt authenticity,https://doi.org/10.1016/j.obhdp.2019.04.008,7 May 2019,"Integrating existing work that considers the self through an interpersonal lens with theories pertaining to leader humility and authenticity, we develop a moderated mediation model that theorizes how and under what circumstances leader humility relates to follower felt authenticity. We argue that followers feel less vulnerable when their leaders express humility and further that this relation becomes weaker as the authenticity of leader humility decreases. We also theorize that follower vulnerability is the mechanism explaining the interactive effect of leader humility and its authenticity on follower felt authenticity at work. Our theoretical model was supported across four studies employing both correlational and experimental designs. These results contribute to our understanding of the interpersonal antecedents of authenticity at work as well as the growing body of research on the impact that leader humility has on important employee outcomes.","Burak Oc, Michael A. Daniels, James M. Diefendorff, Michael R. Bashshur, Gary J. Greguras",,,,,
40,"Simplification and defaults affect adoption and impact of technology, but decision makers do not realize it",https://doi.org/10.1016/j.obhdp.2019.04.001,22 April 2019,"A field experiment (N = 6976) examines how enrollment defaults affect adoption and impact of an education technology that sends weekly automated alerts on students’ academic progress to parents. We show that a standard (high-friction) opt-in process induces extremely low parent take-up (<1%), while a simplified process yields higher enrollment (11%). Yet, with such low take-up, both fail to improve average student achievement. Meanwhile, automatically enrolling parents increases take-up to 95% and improves student achievement as measured by GPA and course passing. The GPA of students whose parents were automatically enrolled increased by an average of 0.06 points, and one in four students did not fail a class they would have otherwise failed. Surveys show automatic enrollment is uncommon, and its impact is underestimated: District leaders  take-up under standard opt-in processes by about 40 percentage points and  take-up under automatic enrollment by 29 percentage points. After learning the actual take-up rates, district leaders report being willing to pay substantially more for the technology when implemented under automatic enrollment than by standard opt-in processes.","Peter Bergman, Jessica Lasky-Fink, Todd Rogers",,,,,
